Название;Стоимость;Стихия;Тип камня;Страна;Легендарность;Суть
Лук (из древнего клена);25 сс;Нет;Нет;Нет;Обычная;Самый обычный лук, не слабый, но и не сильный. Стрелы летят не очень далеко, зато их сложно сбить с курса.
Лук (из зачарованного дерева);50 сс;Нет;Нет;Нет;Редкая;Этот лук можно зачаровать различными заклинаниями. Также стрела из этого лука не может лететь далеко.
Лук (инкрустированный серебром);100 сс;Нет;Нет;Нет;Редкая;Этим луком могут владеть лишь светлые существа. При наложении заклинаний Света +10% к урону (бонусы складываются), при наложении заклинания Тьмы -10% к урону (тоже складываются). +25% урон по нежити, -25% урон по светлым существам.
Лук (инкрустированный огненным золотом);100 сс;Нет;Нет;Нет;Редкая;При попадании эта стрела причиняет сильную нестерпимую боль жертве. Кроме этого, если вы обладаете Древним Искусством Магии стихии Огня, вы наносите +50% урона этим луком. -50% урона по существам 1-2 уровня, +50% урона по существам 10+ уровня.
Лук (из молодого зачарованного дуба);150 сс;Нет;Нет;Нет;Эпическая;Этот лук невозможно украсть, при попадании есть 10% шанс наложения заклинания «Берсерк».
Лук (из древнего дуба с серебряным покрытием);200 сс;Нет;Нет;Нет;Эпическая;Каждое успешное попадание в существо 5+ уровня восстанавливает 1 единицу манны. Увеличивается эффективность магии Света и Хаоса. +50% к урону по стрелкам и магам.
Лук (из древнего дуба с золотым покрытием);250 сс;Нет;Нет;Нет;Эпическая;Каждое успешное попадание в существо 5+ уровня восстанавливает 1 единицу манны. Увеличивается эффективность магии Тьмы и Призыва. +50% к урону по существам ближнего боя.
Лук (зеркальный);300 сс;Нет;Коммонит;Нет;Легендарная;Если этим луком попасть в какой-либо щит, этот урон будет скопирован в обладателя щита.
Лук (из небесной сирени);500 сс;Нет;Коммонит;Нет;Легендарная;Этот лук может оглушить цель. Все стрелы приравниваются по силе к метеоритному железу.
Лук (из величественного дерева с серебряным покрытием);750 сс;Нет;Коммонит;Нет;Легендарная;Удваивается бонус от навыков «Рекрутство», «Искусство переговоров» и «Денежные махинации». На вас накладывается эффект «Сила дракона» на (уровень убитого существа)^2 секунд.
Лук (из вулканического пепла с алмазным покрытием);1000 сс;Нет;Коммонит х2;Нет;Мифическая;Этот лук способен разрушать любой артефакт, предмет или броню с некоторым шансом, если перед этим вы потратили более чем 100 ед. манны за бой. Кроме этого, данный лук может обнаруживать артефакты редкостью до Эпической (Эпические тоже находятся). Если у вас закончились стрелы, можно бросить сам лук. На его месте наложатся заклинания «Буря Возмездия» и «Карающая Волна», а сам лук разрядится.
Лук (из центра подземного камня);2000 сс;Нет;Коммонит х2;Нет;Мифическая;Этот лук может вызывать различные погодные условия (зависит от навыков в школах магии). Этот лук также выпускает всегда по три стрелы (тратите вы тоже три), притом одна из стрел может отклонить вражеское заклинание. Стрелы, выпущенные из этого лука, обладают аурой страха – приземлившись, они накладывают «Скорбь» на всех врагов в радиусе метра. +100% к урону по существам типа героя (рыцарь по рыцарям и т.д). +100% к магическому урону. Этот лук в заряженном состоянии способен переносить чары с одного предмета на другой.
Стрела/болт (дерево) х10;1 сс;Нет;Нет;Нет;Обычная;Деревянная стрела.
Стрела/болт (кремень) х10;2 сс;Нет;Нет;Нет;Обычная;Кремневая стрела.
Стрела/болт (мрамор) х10;2 сс;Нет;Нет;Нет;Обычная;Мраморная стрела.
Стрела/болт (железо) х10;5 сс;Нет;Нет;Нет;Редкая;Железная стрела.
Стрела/болт (серебро) х10;10 сс;Нет;Нет;Нет;Эпическая;Серебряная стрела.
Стрела/болт (золото) х10;10 сс;Нет;Нет;Нет;Эпическая;Золотая стрела.
Стрела (метеоритное железо) х10;25 сс;Нет;Нет;Нет;Легендарная;Стрела из метеоритного железа.
Арбалет (б/у);10 сс;Нет;Нет;Нет;Обычная;Обычный арбалет, правда, не очень сильный.
Арбалет (железо);25 сс;Нет;Нет;Нет;Обычная;Классический вариант. Не очень сильный, но и не очень слабый.
Арбалет (качественное железо);100 сс;Нет;Нет;Нет;Редкая;Немного сильнее железного.
Арбалет (серебро);100 сс;Нет;Нет;Нет;Эпическая;Этот арбалет эффективен против нежити и демонов. +50% урона по нежити и демонам.
Арбалет (золото);125 сс;Нет;Нет;Нет;Эпическая;Этот арбалет эффективен против существ фракций стихии Воды. +50% урона по таким существам.
Арбалет (метеоритное железо);250 сс;Нет;Нет;Нет;Легендарная;Игнорирует любые защитные чары, кроме Древних.
Арбалет (из неразрушимого сплава);750 сс;Нет;Коммонит;Нет;Мифическая;Этот арбалет дает +25% к дропу от мобов, также игнорирует любую броню слабее брони, заряжаемой камнями. +1 к навыкам Владение луком. Стреляет сразу тремя болтами.
Арбалет (выкованный из металла Ядра Планеты);2000 сс;Нет;КоммоНит х2;Нет;Мифическая;Этот арбалет удваивает бонус от любых наложенных на вас заклинаний, также может пробивать галворновую броню. Дает +50% к нападению и к защите, а также к Древнему Искусству Магии Огня. Позволяет телепортироваться в пределах 20 метров на поле боя. +100% к заклинанию «Песчаная Буря». Этот арбалет в заряженном состоянии способен переносить чары с одного предмета на другой.
Щит (каменный);10 сс;Нет;Нет;Нет;Обычная;Защищаться куском камня? Почему бы и нет! 
Щит (железный);25 сс;Нет;Нет;Нет;Редкая;Обычный железный щит.
Щит (серебряный);100 сс;Нет;Нет;Нет;Эпическая;Защищает от нежити и демонов. +50% к защите от таких существ.
Щит (из метеоритного железа);250 сс;Нет;Нет;Нет;Эпическая;Тяжелый, но эффективный щит.
Щит (галворновый);750 сс;Нет;Нет;Нет;Легендарная;Этот щит защищает от любых стрелковых атак.
Щит (из неразрушимого сплава);750 сс;Нет;Коммонит;Нет;Мифическая;Щит дает +1 уровень к навыку Скрытность, а также удваивает эффект Сопротивления магии. +100% к магии Земли, -50% к магии Воздуха, +100% к магии Огня, -50% к магии Воды, +50% к ближним атакам.
Щит (выкованный из металла Ядра Планеты);2000 сс;Нет;Коммонит х2;Нет;Мифическая;Полностью непробиваем для существ ниже 11 уровня. Также защищает от заклинаний Призыва (то есть не позволяет призванным существам атаковать вас). Можно бросить – в этом случае на месте щита останется заклинание «Слово огня», усиленное так, что пробивает любые чары, а сам щит разрядится. Этот щит в заряженном состоянии способен переносить чары с одного предмета на другой.
Броня (каменная);10-10-10-10;Нет;Нет;Нет;Обычная;Что? Броня из камня? Как ее использовать?
Броня (из б/у железа);10-20-15-5;Нет;Нет;Нет;Обычная;Обычная б/у железная броня.
Броня (железная);20-40-30-10;Нет;Нет;Нет;Редкая;Обычная железная броня.
Броня (галворновый сплав);50-75-50-25;Нет;Нет;Нет;Эпическая;Галворновый сплав не пропускает 50% ближних атак и не пропускает 50% стрелковых атак. -25% к урону от всего.
Броня (из метеоритного железа);125-175-125-75;Нет;Нет;Нет;Эпическая;Броня из метеоритного железа.
Броня (из неразрушимого сплава);500-750-500-250;Нет;Коммонит;Нет;Легендарная;Эта броня может быть заряжена, если ее поджечь. После этого об эту броню сжигаются все стрелы и слабые (железный и хуже) мечи, не действуют заклинания магии Воды 1-3 уровня. Если вам был нанесен удар снимающий более 20% здоровья единовременно, тому, кто нанес удар наносится ответный удар двукратной силы. +25% к нападению.
Броня (выкованная из металла Ядра Планеты);1000-1500-1250-750;Нет;Коммонит х2;Нет;Мифическая;Эта броня совмещает в себе галворновый сплав и броню из неразрушимого сплава. Также на вас почти не действуют заклинания, которое вы знаете. Эта броня может переносить чары с одного предмета на другой.
Уникальные лекарства;10-25-50-100;Нет;Нет;Нет;Редкая;Излечивают от чего угодно (стоимость в зависимости от тяжести заболевания/яда).
Уникальные магические лекарства;50 сс;Нет;Нет;Нет;Эпическая;Снимают одно любое заклинание.
Усилитель физической силы;100 сс;Нет;Нет;Нет;Эпическая;+100% к нападению, +100% к защите. Можно использовать не более двух единовременно. Действует десять минут.
Эликсир «Магия- сила!»;100 сс;Нет;Нет;Нет;Эпическая;+(100*(6-уровень заклинания)) к действию любого заклинания. Можно использовать не более двух единовременно. Действует десять минут. 
Небесный корабль;100 сс;Нет;Нет;Нет;Эпическая;Призывает летучий корабль на 10 минут.
Камешек характеристик;1 сс;Нет;Нет;Нет;Легендарная;Каждый купленный камешек дает +1% к любой выбранной характеристике. Работает 24 часа.
Комплект еды и воды на один день;1 сс;Нет;Нет;Нет;Обычная;Комплект еды и воды.
Спальный мешок;10 сс;Нет;Нет;Нет;Обычная;Спальный мешок.
Спаунпоинт;50 сс;Нет;Нет;Нет;Редкая;Возвращает вас на место любого из 10 порталов Псевдонор-Атанор. Действует только на Рынке.
Западный меч;50 сс;Воздух;Нет;Тартананор;Обычная;+25% к магии Воздуха. +1% к магическому урону за каждый удар по существу. Когда бонус достигает 50%, выбрасывается заклинание «Святое слово», а бонус обнуляется.
Меч Красного Огня;75 сс;Воздух/Огонь;Нет;Тартананор;Обычная;+25% к урону всех демонов и людей в вашей армии. -25% к урону от демонов и людей. Нельзя носить демонам.
Светомагодиод;100 сс;Воздух;Нет;Тартананор;Обычная;+25% к скорости, +25% к реакции, +25% к магии Воздуха у вас, вашей армии и вашей лошади. +100% к скорости, если битва происходит на рассвете, в первую четверть убывающей луны на берегу реки шириной не более 50 метров, если на поле битвы есть хотя бы один камень объемом более 1 м3, и если на севере от места битвы растет лес площадью хотя бы 10 га.
Щит «Боязнь эльфов»;125 сс;Воздух;Нет;Тартананор;Обычная;Отражает все стрелы из незачарованного лука. +25% к магической защите. +1 к навыку Владение Щитом.
Броня Сплоченности;75-125-100-50;Воздух;Нет;Тартананор;Редкая;(Железная броня) Каждый участник вашей армии дает вам +1% к нападению и +1% к защите. Бонус не может быть больше 500%. Каждый отсутствующий элемент брони уменьшает бонус на 0.25%.
Лук для использования в перчатках;125 сс;Воздух/Вода;Нет;Тартананор;Редкая;(Лук из зачарованного дерева) +100% ко всем характеристикам на дуэли.
Небесное Сияние;150 сс;Воздух;Нет;Тартананор;Редкая;Магический амулет. Показывает на любую нежить. Также его можно бросить. При этом будет наложено заклинание Святое Слово с бонусом +300%, а сам амулет уничтожится.
Рыцарская Маска;150 сс;Воздух;Нет;Тартананор;Эпическая;+2 к навыку Дипломатии, если вы общаетесь с людьми, +1 к этому навыку, если вы общаетесь с варварами, мерфолками, эльфами и технарями.
Изумрудная броня;100-150-125-75;Воздух/Вода;Нет;Тартананор;Эпическая;Каждое попадание по вашей броне дает вам +1% к нападению и +1% к атаке. Бонус не может быть больше 500%. Каждый отсутствующий элемент брони уменьшает бонус на 0.25%. После конца боя бонус исчезает.
Изумрудный меч;300 сс;Воздух/Вода;Нет;Тартананор;Эпическая;(Меч из метеоритного железа). Если на вас одета изумрудная броня, меч получает зачарование Мощь Квазара.
Щит Оруженосца;500 сс;Воздух/Вода;Скайерит;Тартананор;Легендарная;Вы можете использовать этот щит, чтобы временно исчезнуть из мира. При этом все ваши способности, заклинания и эффекты артефактов и вещей передаются другому игроку. Если заклинание игроку было известно, его эффективность удваивается. Эффекты артефактов, вещей и способностей складываются. Вы можете в любой момент прервать это действие. Щит действует не более суток. После использования разряжается.
Лошадь Священного Света;500 сс;Воздух;Скайерит;Тартананор;Легендарная;Механическая лошадь. 200 км/день. Все ваше вооружение получает случайное зачарование. Любой меч получает возможность атаковать несколько целей сразу, а стрелы из лука попадают с шансом 100%. 
Меч (изумрудный мифриловый);500 сс;Воздух;Скайерит;Тартананор;Мифическая;(Мифриловый меч) +50% к нападению по существам, относящимся к стихии Земли.
Иллюзорная Сплоченность;1000 сс;Воздух;Тернит х2;Тартананор;Мифическая;Вы получаете возможность создать еще девять своих копий со всеми вашими силами и умениями. Они не считаются вашей армией, имеют вдвое меньше здоровья, зато имеют Сопротивление Магии Абсолютного Уровня. После боя они исчезают, а предмет разряжается.
Небесная Священная Броня;Не продается;Воздух;Тернит х2;Тартананор;Единственная;Вы получаете способность летать, быть неосязаемым. Броня имеет свойства галворновой стали и галворнового сплава. При наличии полного комплекта брони и меча вы получаете способности изумрудной брони и меча. +200% к защите. Вся ваша армия имеет бонус +25% ко всем характеристикам. Если вы получили смертельное ранение, на вас накладывается заклинание «Чудесное Спасение», усиленное на 500%, после чего броня разряжается.
Небесный Священный Меч;Не продается;Воздух;Тернит;Тартананор;Единственная;Возможность разгоняться, нанося на 200% больше урона только от меча. Игнорирует заклинания «Принужденное Подчинение», «Берсерк» и «Болотный огонек». При наличии полного комплекта брони и меча вы получаете способности изумрудной брони и меча. +200% к защите. Вся ваша армия имеет бонус +25% ко всем характеристикам. Если вы находитесь под воздействием любого заклинания Тьмы, на вас накладывается заклинание «Сила дракона», усиленное на 25%*(сумма уровней всех наложенных заклинаний Тьмы).
Варварские ботинки;50 сс;Воздух;Нет;Норрадон;Обычная;Передвижение по тайге и тундре не вызывает у вас затруднений.
Меч Северо-Запада;50 сс;Воздух/Огонь;Нет;Норрадон;Обычная;(Хороший железный меч) Варвары просто обожают перепродавать обычные вещи, не добавляя к ним почти ничего нового. Хотя нет. +1% к скорости, -1% к защите.
Настойка из съедобных мухоморов (1);75 сс;Воздух/Огонь;Нет;Норрадон;Обычная;Действует только на персонажей класса Воин или Ассасин. +50% к скорости, а если у вас осталось меньше 10% здоровья дает +3 к Скрытности. (на 1 час)
Настойка из несъедобных мухоморов (1);100 сс;Воздух/Огонь;Нет;Норрадон;Обычная;Действует только на персонажей класса Маг или Кудесник. Вы получаете возможность временно (на 1 час) сменить половину магических и технарских навыков на воинские и плутовские. (Считаются только круги и умения, дополнительные навыки менять нельзя, основные навыки, например, Основы кузнечного дела, можно менять на другие основные навыки сколько угодно). -50% к скорости, а если у вас осталось меньше 10% здоровья дает -3 к Скрытности. (на 1 час)
Варварский Гневный Щит;125 сс;Огонь;Нет;Норрадон;Редкая;Если этот щит был уничтожен мечом, не заряженным камнем, вместе со щитом уничтожается и этот меч.
Огненный булыжник;150 сс;Огонь;Нет;Норрадон;Редкая;(Каменный щит) И кому пришло в голову назвать щит булыжником?! Неважно. Важно то, что этот щит нельзя использовать никак, кроме как стоять на нем. Зачем? Ну как зачем! Пока вы стоите на этом щите, вы получаете зачарование Огненный Клинок на меч, Горящая стрела на лук и Защита от Хаоса на броню.
Броня из мухоморов;30-55-45-20;Воздух/Огонь;Нет;Норрадон;Редкая;На самом деле, мухоморы покрыты толстым слоем железа. Если броня разрушается, на всех в радиусе десяти метров накладываются следующие эффекты: с шансом 25% Берсерк, с шансом 25% Болотный Огонек, с шансом 20% Огненное Возмездие, с шансом 15% Каменная Кожа, с шансом 10% Скорбь, с шансом 5% Сила Дракона.
Сборник варварских шуток про мухоморы;200 сс;Воздух/Огонь;Нет;Норрадон;Эпическая;Не действует на варваров. С шансом: 10% на воина, 30% на мага, 25% на технаря, 20% на плута накладывает: шанс 50% Песнь мира, шанс 25% Скорбь, шанс 25% уменьшит защиту на 50%. 
Броня, сделанная по неправильному чертежу;45-15-45-70;Воздух/Огонь;Нет;Норрадон;Эпическая;В этой броне шлем по прочности, как поножи, нагрудник – как ботинки, поножи – как шлем, а ботинки – как нагрудник.
Лук-арбалет;500 сс;Воздух/Огонь;Нет;Норрадон;Эпическая;Если этот лук сломается, то он превратится в арбалет из метеоритного железа. Если сломается этот арбалет, он превратится в лук из молодого зачарованного дуба, который после поломки уже не превратится в арбалет.
Башнебой;500 сс;Воздух/Огонь;Скайерит;Норрадон;Легендарная;Разрушает городские стены мощнейшим зарядом огня и стали. Разряжается после использования.
Воинский амулет;750 сс;Воздух/Огонь;Инфлеймит;Норрадон;Легендарная;Вы можете получить неуязвимость к любому урону на 10 минут, при этом вы теряете всю свою ману, а также на время действия амулета эффекты всех остальных артефактов, зелий и предметов, не являющихся предметами с Рынка аннулируются.
Кулон Огненного Моря;1000 сс;Воздух/Огонь;Инфлеймит;Норрадон;Мифическая;Может делать:1) Наносит урон равный половине здоровья всем, кто имеет хотя бы один предмет, относящийся к стихии Воды. 2) Аннулирует эффект всех вещей, заряжающихся редкими или обычными камнями, включая самого себя. 3) +(уровень существа) ко всем характеристикам, максимальный бонус составляет 200%. При убийстве героя вы получаете эффект случайного зелья и  случайного артефакта, а также получаете возможность первым и единственным ударом сломать любой щит, броню или магический барьер. (Броня и щит должны заряжаться обычным камнем или ничем).4) Исчезнуть и вернуть вам 750 сс.5) Украсть все эффекты с выбранной цели.На каждый из эффектов тратит заряд одного камня.
Меч из легкой огненной стали;1000 сс;Воздух/Огонь;Эденит;Норрадон;Мифическая;Этот меч всего лишь дает +25% к дропу от существ. А еще он накладывает Бушующий Армагеддон при убийстве вражеского героя. А еще он дает +100% к нападению. При его использовании вы получаете эффект огнестойкости на 1 час, чем сильнее жар рядом с вами, тем сильнее вы атакуете и тем сильнее ваша магия Огня. При этом меч разряжается.
Легендарный Стальной Щит;Не продается;Воздух/Огонь;Эденит х2;Норрадон;Единственная;(Щит из неразрушимого сплава) Ничто не способно разрушить или пробить этот щит. Его можно носить, только если на вас есть Легендарный Стальной Плащ. Вы получаете +100% к защите за каждого убитого героя. Бонус может быть сколь угодно большим, но после окончания битвы он аннулируется.
Легендарный Стальной Плащ;Не продается;Воздух/Огонь;Эденит х2;Норрадон;Единственная;Вы получаете полную невосприимчивость ко всем видам магии, кроме Древней. Вы получаете полную невосприимчивость ко всем вещам, не заряжаемым камнями. Вы получаете +100% к магической защите за каждого убитого героя. Бонус может быть сколь угодно большим, но после окончания битвы он аннулируется.
Меч Подземелья;25 сс;Земля;Нет;Андерирсар;Обычная;Этот меч можно зарядить в арбалет вместо болта. В таком случае этот меч накладывает случайное заклинание магии Земли и Тьмы на цель.
Щит из хрупкого камня;50 сс;Земля;Нет;Андерирсар;Обычная;(Щит из камня) Чем сильнее оружие, тем сильнее защищает этот щит. Если этот щит разрушается, он превращается в обычный каменный щит без эффектов.
Странная броня;10-20-15-5;Земля;Нет;Андерирсар;Обычная;С шансом 50% пропускает удар, иначе удваивает свою защиту от этого удара.
Книжка с темноэльфий-скими песнями;100 сс;Земля;Нет;Андерирсар;Обычная;Аннулирует действие заклинания «Песнь мира», а также дает -1 к навыку Дипломатии сопернику. -25% к урону от эльфов и гномов.
Клинок из кусков артефактов;150 сс;Земля;Нет;Андерирсар;Редкая;(Меч из зачарованного золота) +5% к нападению за каждый экипированный артефакт.
Настойка из крыльев несуществующего дракона (1);200 сс;Земля;Нет;Андерирсар;Редкая;Не возымеет действия до тех пор, пока вы находитесь на территории Андерирсара. В противном случае дает способность к полету до тех пор, пока вы не получите урон.
Эссенция Подземного Страха (1);250 сс;Земля;Нет;Андерирсар;Редкая;Каждый ваш удар накладывает Скорбь, а также уменьшает эффект от брони цели вдвое при ударе (только на время удара). Вы получаете возможность создать своего теневого двойника. Он лишается всех эффектов от вещей, манны и артефактов, но получает призрачность, защиту от серебра и Святого Слова. Удваивает действие артефактов, не влияющих на основные боевые характеристики.
Набор шахмат из подземного минерала;300 сс;Земля;Нет;Андерирсар;Эпическая;Все характеристики лошади удваиваются.
Кинжал из светящихся кристаллов;300 сс;Земля/Огонь;Нет;Андерирсар;Эпическая;+100% к стихийному урону. +1 к навыку Скрытности. Если вы применили любое зелье, вы можете сразу же после применения отозвать его эффект, а взамен получить +25%*(уровень зелья) к магии Хаоса.
Броня из светящихся кристаллов;125-200-175-100;Земля/Огонь;Нет;Андерирсар;Эпическая;+25% * (количество элементов брони) к стихийному урону. Если вы обладаете кинжалом из светящихся кристаллов, вы можете разбить артефакт, не являющийся Единственным, и при этом:1) Получить утроенный эффект на время битвы.2) Полностью восстановить здоровье и запас манны.
Подозрительная маска;500 сс;Земля/Воздух;Ирсанит;Андерирсар;Легендарная;Каждое успешное попадание по сопернику накладывает на него заклинание «Молния». Каждое успешное попадание по вам накладывает на атакующего заклинание «Молния». Вы получаете возможность видеть сквозь не сильно толстые стены, распознавать ложь и проходить через не Древние магические барьеры. +50% к скорости и +50% к реакции. Если вы обладаете артефактом «Плащ из шкуры черного дракона», его эффект увеличивается в четыре раза.
Кинжал древних эльфов;750 сс;Земля;Ирсанит;Андерирсар;Легендарная;Вызывает грозу на место боя. Вы получаете невосприимчивость к атакам существ из Даркерии и Андерирсара, но если вы нападете на них сами, этот эффект пропадет. Вы получаете возможность делать приготовленые вами зелья «кровавыми», повышая все их эффекты на 10% за каждый уровень вражеского героя, убитого неподалеку от котла. «Кровавых зелий» нельзя пить более одного за битву. -50% к атаке по драконам, +50% к атаке по нелетающим существам.
Броня из кровавого галворна;250-500-350-150;Земля;Авгит;Андерирсар;Мифическая;Полностью блокирует урон от существ (ваш уровень/5)+1 уровня и ниже. Защищает от всех видов недревней магии и всех зачарований.
Универсальный инструмент из зачарованного галворнового сплава  ;2000 сс;Земля;Авгит;Андерирсар;Мифическая;Этот инструмент может работать как кирка, молот, топор, меч, щит, лук и броня сразу. При каждой такой смене инструмент будет тратить заряд камня. При этом обладает всеми свойствами инструментов «Из Ядра Планеты», а если это лук – то «Лук из центра подземного камня».
